年月日,收盤價(元)
2008/01/02,35.93
2008/01/03,34.74
2008/01/04,35.11
2008/01/07,33.10
2008/01/08,34.51
2008/01/09,35.63
2008/01/10,37.12
2008/01/11,35.71
2008/01/14,35.48
2008/01/15,36.97
2008/01/16,34.59
2008/01/17,33.92
2008/01/18,34.07
2008/01/21,33.99
2008/01/22,31.68
2008/01/23,31.31
2008/01/24,31.31
2008/01/25,31.16
2008/01/28,30.34
2008/01/29,30.64
2008/01/30,31.16
2008/01/31,30.34
2008/02/01,29.82
2008/02/12,29.37
2008/02/13,28.47
2008/02/14,29.52
2008/02/15,29.82
2008/02/18,30.86
2008/02/19,31.01
2008/02/20,29.97
2008/02/21,30.34
2008/02/22,29.82
2008/02/25,30.56
2008/02/26,30.04
2008/02/27,30.41
2008/02/29,31.16
2008/03/03,30.71
2008/03/04,31.61
2008/03/05,33.10
2008/03/06,32.35
2008/03/07,31.68
2008/03/10,30.79
2008/03/11,30.93
2008/03/12,30.93
2008/03/13,30.41
2008/03/14,30.26
2008/03/17,31.46
2008/03/18,32.35
2008/03/19,33.32
2008/03/20,35.03
2008/03/21,34.29
2008/03/24,35.78
2008/03/25,35.26
2008/03/26,35.33
2008/03/27,35.03
2008/03/28,36.23
2008/03/31,35.71
2008/04/01,34.36
2008/04/02,34.59
2008/04/03,34.74
2008/04/07,35.63
2008/04/08,35.33
2008/04/09,37.12
2008/04/10,36.82
2008/04/11,37.27
2008/04/14,37.57
2008/04/15,37.12
2008/04/16,37.27
2008/04/17,36.23
2008/04/18,36.30
2008/04/21,36.08
2008/04/22,35.33
2008/04/23,35.18
2008/04/24,34.89
2008/04/25,34.96
2008/04/28,35.41
2008/04/29,34.29
2008/04/30,35.26
2008/05/02,34.44
2008/05/05,34.59
2008/05/06,34.44
2008/05/07,35.18
2008/05/08,34.96
2008/05/09,35.03
2008/05/12,35.03
2008/05/13,35.41
2008/05/14,35.18
2008/05/15,36.45
2008/05/16,36.08
2008/05/19,36.60
2008/05/20,36.23
2008/05/21,36.38
2008/05/22,37.35
2008/05/23,36.38
2008/05/26,36.60
2008/05/27,36.38
2008/05/28,35.26
2008/05/29,34.29
2008/05/30,34.66
2008/06/02,35.48
2008/06/03,34.89
2008/06/04,35.03
2008/06/05,35.18
2008/06/06,35.11
2008/06/09,34.44
2008/06/10,34.07
2008/06/11,33.17
2008/06/12,32.95
2008/06/13,32.28
2008/06/16,32.95
2008/06/17,33.25
2008/06/18,33.39
2008/06/19,32.65
2008/06/20,31.31
2008/06/23,30.93
2008/06/24,30.56
2008/06/25,30.86
2008/06/26,31.08
2008/06/27,29.82
2008/06/30,29.82
2008/07/01,29.15
2008/07/02,29.15
2008/07/03,29.37
2008/07/04,29.00
2008/07/07,29.22
2008/07/08,28.18
2008/07/09,27.58
2008/07/10,26.84
2008/07/11,28.70
2008/07/14,28.18
2008/07/15,26.84
2008/07/16,26.69
2008/07/17,28.03
2008/07/18,26.98
2008/07/21,28.33
2008/07/22,27.43
2008/07/23,29.29
2008/07/24,29.89
2008/07/25,29.82
2008/07/29,28.10
2008/07/30,28.85
2008/07/31,28.55
2008/08/01,27.95
2008/08/04,27.88
2008/08/05,27.36
2008/08/06,27.95
2008/08/07,27.88
2008/08/08,28.18
2008/08/11,27.95
2008/08/12,27.28
2008/08/13,27.51
2008/08/14,27.58
2008/08/15,27.36
2008/08/18,26.54
2008/08/19,26.46
2008/08/20,26.46
2008/08/21,25.57
2008/08/22,25.34
2008/08/25,26.31
2008/08/26,26.61
2008/08/27,26.61
2008/08/28,26.84
2008/08/29,26.75
2008/09/01,25.97
2008/09/02,25.53
2008/09/03,24.32
2008/09/04,23.19
2008/09/05,22.49
2008/09/08,24.06
2008/09/09,22.93
2008/09/10,23.27
2008/09/11,22.58
2008/09/12,22.75
2008/09/15,21.36
2008/09/16,19.89
2008/09/17,20.32
2008/09/18,19.11
2008/09/19,20.41
2008/09/22,21.02
2008/09/23,20.67
2008/09/24,20.67
2008/09/25,20.15
2008/09/26,19.19
2008/09/30,18.93
2008/10/01,18.67
2008/10/02,18.67
